biome * ffffff ffffff ffffff
biome 0 4a68ef 65a064 66a764
biome 1 4a68ef 73ae5b 86b55b
biome 2 4a68ef cabb6e cabb6e
biome 3 4a68ef 7eb186 7fb888
biome 4 4a68ef 5ea055 66a754
biome 5 4a68ef 77ac7f 79b27e
biome 6 4168a3 6a7039 6a7039
biome 7 4a68ef 65a064 66a764
biome 8 4a68ef cabb6e cabb6e
biome 9 4a68ef 65a064 66a764
biome 10 4a68ef 85b791 87c090
biome 11 4a68ef 85b791 87c090
biome 12 4a68ef 85b791 87c090
biome 13 4a68ef 85b791 87c090
biome 14 4a68ef 5eb54c 74be49
biome 15 4a68ef 5eb54c 74be49
biome 16 4a68ef 73ae5b 86b55b
biome 17 4a68ef cabb6e cabb6e
biome 18 4a68ef 5ea055 66a754
biome 19 4a68ef 77ac7f 79b27e
biome 20 4a68ef 7eb186 7fb888
biome 21 4a68ef 61b84d 7ac14a
biome 22 4a68ef 61b84d 7ac14a
biome 23 4a68ef 64b850 7cc14d
biome 24 4a68ef 65a064 66a764
biome 25 4a68ef 7eb186 7fb888
biome 26 4a68ef 84b690 86bf91
biome 27 4a68ef 619e5d 63a55c
biome 28 4a68ef 619e5d 63a55c
biome 29 4a68ef 354f1c 66a754
biome 30 4a68ef 85b791 87c090
biome 31 4a68ef 85b791 87c090
biome 32 4a68ef 73a878 74ae7b
biome 33 4a68ef 73a878 74ae7b
biome 34 4a68ef 7eb186 7fb888
biome 35 4a68ef cabb6e cabb6e
biome 36 4a68ef cabb6e cabb6e
biome 37 4a68ef 90814d 9e814d
biome 38 4a68ef 90814d 9e814d
biome 39 4a68ef 90814d 9e814d
biome 40 4a68ef 85b791 87c090
biome 41 4a68ef aa8a4e b5a353
biome 42 4a68ef a3e053 a3e053
biome 43 4a582e 8baf6b b0e088
biome 44 4a68ef d8935f dae579
biome 45 4a68ef 9fb771 c9ce65
biome 46 4a68ef c9c17f b2c67f
biome 47 4a68ef a9ba64 a9ba64
biome 48 4a68ef c0d85d 86b55b
biome 49 4a68ef a3ffaa a3ffaa
biome 50 4a68ef 65a064 66a764
biome 51 4a68ef 85b791 87c090
biome 52 042b31 cabb6e cabb6e
biome 53 4a68ef bca165 bca165
biome 54 2f464b 66704c 66704c
biome 55 4a68ef ad8e41 afa248
biome 56 4a68ef bac481 ceb979
biome 57 4a68ef 70c441 70c441
biome 58 4a68ef abd6bc abd6bc
biome 59 00682b f0f970 a9fb6a
biome 60 4a68ef 74d374 66e266
biome 61 4a68ef 7fdb7d 7fdb7d
biome 62 4a68ef 609e58 75b569
biome 63 4a68ef cec577 aec681
biome 64 4a68ef 65a064 66a764
biome 65 4a68ef 7ca568 8acc6a
biome 66 4a68ef a1c36d a1c36d
biome 67 4a68ef 98c060 adc260
biome 68 4a68ef 5a9f52 61a751
biome 69 4a68ef 7caf83 7db683
biome 70 4a68ef 5f9a5e 5f9f5e
biome 71 4a68ef 63b26d 63b26d
biome 72 19356e 619365 619365
biome 73 4a68ef 6aa468 6aab68
biome 74 4a0672 69cfdb 70e099
biome 75 080b23 3f4151 3f4151
biome 76 4a68ef a2ff5f 3aff00
biome 77 4a68ef cabd6e cabd6e
biome 78 4a68ef c8e580 ade07b
biome 79 4a68ef 1ad86c 14e26f
biome 80 4a68ef 73ae5b 86b55b
biome 81 4a68ef 00995b 00995b
biome 82 4a68ef bec44c b3c442
biome 83 4a68ef 647f38 789643
biome 84 4a68ef 73a564 79ab64
biome 85 323b00 746429 919134
biome 86 4a68ef b28f6b b28f6b
biome 87 4a68ef b6d367 bbdd63
biome 88 4a68ef a89a77 a5a16d
biome 89 1a6800 c3e041 a5e041
biome 90 4a68ef ad8456 bf664e
biome 91 426800 9da078 999e55
biome 92 1c277b 5a935f 4f9657
biome 93 4a68ef b2c365 bdc465
biome 94 4a68ef 5f9a5e 5f9f5e
biome 95 4a68ef 5f9a5e 5f9f5e
biome 96 4a68ef 5fbb4a 79c447
biome 97 4a68ef cabd6e cabd6e
biome 98 4a68ef 5eaa50 6bb04e
biome 99 4a68ef 85b791 87c090
biome 100 0a2a72 dbe6e5 dbe6e5
biome 101 4a68ef 85b791 87c090
biome 102 4a68ef 63b26d 63b26d
biome 103 4a68ef 66b453 7fbd52
biome 104 4a68ef d5ff6d d5ff6d
biome 105 3b2100 9e8b69 9e8b69
biome 106 4a68ef cabd6e cabd6e
biome 107 4a686f ccc9ad d7dbb6
biome 108 4a68ef 5ea055 66a754
biome 109 4a68ef cabb6e cabb6e
biome 110 4a68ef cabb6e cabb6e
biome 111 4a68ef cabb6e cabb6e
biome 112 4a68ef cabb6e cabb6e
biome 113 4a68ef cabb6e cabb6e
biome 114 4a68ef cabb6e cabb6e
biome 115 4a68ef cabb6e cabb6e
biome 116 4a68ef 5f9c5b 61a25b
biome 117 4a68ef 74be57 94c456
biome 118 4a68ef 85b791 87c090
biome 126 4a68ef 65a064 66a764
biome 127 4a68ef cabb6e cabb6e
biome 129 4a68ef 73ae5b 86b55b
biome 130 4a68ef cabb6e cabb6e
biome 131 4a68ef 7eb186 7fb888
biome 132 4a68ef 5ea055 66a754
biome 133 4a68ef 77ac7f 79b27e
biome 134 4168a3 6a7039 6a7039
biome 140 4a68ef 85b791 87c090
biome 149 4a68ef 61b84d 7ac14a
biome 151 4a68ef 64b850 7cc14d
biome 155 4a68ef 619e5d 63a55c
biome 156 4a68ef 619e5d 63a55c
biome 157 4a68ef 436a2f 66a754
biome 158 4a68ef 85b791 87c090
biome 160 152ae0 77ac7f 79b27e
biome 161 152ae0 77ac7f 79b27e
biome 162 4a68ef 7eb186 7fb888
biome 163 4a68ef cabb6e cabb6e
biome 164 4a68ef cabb6e cabb6e
biome 165 4a68ef 90814d 9e814d
biome 166 4a68ef 90814d 9e814d
biome 167 4a68ef 90814d 9e814d
biome 192 cc1188 6d4189 7c6d87
biome 193 0077ee 55ff81 66ffc5
biome 194 2e535f 404840 405340
biome 195 4a68ef 65a064 66a764
blocktype * * normal
blocktype 2 * grass
blocktype 8 * water
blocktype 9 * water
blocktype 18 * leaves
blocktype 18 1 opaque
blocktype 18 2 opaque
blocktype 31 * grass
blocktype 106 * foliage
blocktype 169 * grass
blocktype 1920 * grass
blocktype 1923 * opaque
blocktype 1924 * opaque
blocktype 1925 * foliage
blocktype 1926 * opaque
blocktype 1932 * foliage
blocktype 1962 * leaves
blocktype 2164 * leaves
blocktype 2177 * leaves
blocktype 2200 * opaque
blocktype 2204 * leaves
blocktype 3257 * opaque
blocktype 3258 * opaque
blocktype 3259 * leaves
blocktype 3272 * opaque
blocktype 3278 * opaque
block * * 00000000
block 1 * ff91928f
block 2 * ff878787
block 3 * ff6f4f2f
block 3 2 ff352417
block 4 * ff929290
block 5 * ffb29260
block 5 1 ff6e532e
block 5 2 ffd0ba90
block 5 3 ff986d49
block 5 4 ff8d5933
block 5 5 ff251812
block 6 * 682e4923
block 6 0 6b2e4b24
block 6 1 5d213e21
block 6 2 63365124
block 6 3 403c5c2d
block 6 4 2b636c2b
block 6 8 6b2e4b24
block 6 9 5d213e21
block 6 10 63365124
block 6 11 403c5c2d
block 6 12 2b636c2b
block 7 * ff34342d
block 8 * 4d70b6c9
block 9 * 4d70b6c9
block 10 * ffff5218
block 11 * ffff5218
block 12 * fff3e4c1
block 12 1 ff9e4e1b
block 13 * ff71747a
block 14 * ffaca380
block 15 * ff847769
block 16 * ff727371
block 17 * ff715331
block 17 0 ffb3936d
block 17 1 ff926e50
block 17 2 ffc9af8d
block 17 3 ffa7805a
block 17 4 ff634c2e
block 17 5 ff3a281e
block 17 6 ffeae8df
block 17 8 ff634c2e
block 17 9 ff3a281e
block 17 10 ffeae8df
block 17 12 ff634c2e
block 17 13 ff3a281e
block 17 14 ffeae8df
block 18 * ff636363
block 18 1 ff223622
block 18 2 ff314021
block 18 3 ff828079
block 18 5 ff5b5b5b
block 18 7 ff828079
block 18 9 ff5b5b5b
block 18 11 ff828079
block 18 13 ff5b5b5b
block 18 15 ff828079
block 19 * ffcab052
block 20 * 2e313131
block 21 * ff6e7485
block 22 * ff39507c
block 23 * ff4e4e4e
block 23 1 ff414141
block 23 9 ff414141
block 24 * ffefe2c6
block 25 * ff4e3727
block 26 * ff9e7e76
block 26 0 ff78392b
block 26 1 ff78392b
block 26 2 ff78392b
block 26 3 ff78392b
block 26 4 ff78392b
block 26 5 ff78392b
block 26 6 ff78392b
block 26 7 ff78392b
block 27 * 907c6a57
block 27 8 90927964
block 27 9 90927964
block 27 10 90927964
block 27 11 90927964
block 27 12 90927964
block 27 13 90927964
block 27 14 90927964
block 27 15 90927964
block 28 * 967d6354
block 28 0 966f5f50
block 28 1 966f5f50
block 28 2 966f5f50
block 28 3 966f5f50
block 28 4 966f5f50
block 28 5 966f5f50
block 28 6 966f5f50
block 28 7 966f5f50
block 29 * ff534d47
block 29 0 ff4f4f4f
block 29 1 ff736139
block 29 6 ff736139
block 29 7 ff736139
block 29 8 ff4f4f4f
block 29 9 ff464646
block 29 14 ff736139
block 29 15 ff736139
block 30 * 55e9e9e9
block 31 * 654e7843
block 31 1 80878787
block 31 2 7a8a8a8a
block 32 * 654e7843
block 33 * ff534d47
block 33 0 ff4f4f4f
block 33 1 ff88653c
block 33 6 ff88653c
block 33 7 ff88653c
block 33 8 ff4f4f4f
block 33 9 ff464646
block 33 14 ff88653c
block 33 15 ff88653c
block 34 * ff534d47
block 34 0 ff88653c
block 34 1 ff88653c
