ID,Unlocalised name,Class
0,Bleeding,com.rikmuld.camping.misc.PotionBleeding
1,potion.moveSpeed,net.minecraft.potion.Potion
2,potion.moveSlowdown,net.minecraft.potion.Potion
3,potion.digSpeed,net.minecraft.potion.Potion
4,potion.digSlowDown,net.minecraft.potion.Potion
5,potion.damageBoost,net.minecraft.potion.PotionAttackDamage
6,potion.heal,net.minecraft.potion.PotionHealth
7,potion.harm,net.minecraft.potion.PotionHealth
8,potion.jump,net.minecraft.potion.Potion
9,potion.confusion,net.minecraft.potion.Potion
10,potion.regeneration,net.minecraft.potion.Potion
11,potion.resistance,net.minecraft.potion.Potion
12,potion.fireResistance,net.minecraft.potion.Potion
13,potion.waterBreathing,net.minecraft.potion.Potion
14,potion.invisibility,net.minecraft.potion.Potion
15,potion.blindness,net.minecraft.potion.Potion
16,potion.nightVision,net.minecraft.potion.Potion
17,potion.hunger,net.minecraft.potion.Potion
18,potion.weakness,net.minecraft.potion.PotionAttackDamage
19,potion.poison,net.minecraft.potion.Potion
20,potion.wither,net.minecraft.potion.Potion
21,potion.healthBoost,net.minecraft.potion.PotionHealthBoost
22,potion.absorption,net.minecraft.potion.PotionAbsoption
23,potion.saturation,net.minecraft.potion.PotionHealth
24,Greater Mana Restoration,am2.buffs.ManaPotion
25,Epic Mana Restoration,am2.buffs.ManaPotion
26,Legendary Mana Restoration,am2.buffs.ManaPotion
27,potion.fluxtaint,thaumcraft.api.potions.PotionFluxTaint
28,potion.visexhaust,thaumcraft.api.potions.PotionVisExhaust
29,potion.infvisexhaust,thaumcraft.common.lib.potions.PotionInfectiousVisExhaust
30,potion.unhunger,thaumcraft.common.lib.potions.PotionUnnaturalHunger
31,potion.warpward,thaumcraft.common.lib.potions.PotionWarpWard
32,potion.deathgaze,thaumcraft.common.lib.potions.PotionDeathGaze
33,Blue Curse,pixlepix.auracascade.potions.PotionBlueCurse
34,Green Curse,pixlepix.auracascade.potions.PotionGreenCurse
35,Orange Curse,pixlepix.auracascade.potions.PotionOrangeCurse
36,Red Curse,pixlepix.auracascade.potions.PotionRedCurse
37,Violet Curse,pixlepix.auracascade.potions.PotionVioletCurse
38,Yellow Curse,pixlepix.auracascade.potions.PotionYellowCurse
39,botania.potion.allure,vazkii.botania.common.brew.potion.PotionAllure
40,Agility,am2.buffs.ArsMagicaPotion
41,Astral Distortion,am2.buffs.ArsMagicaPotion
42,Burnout Redux,am2.buffs.ArsMagicaPotion
43,Charmed,am2.buffs.ArsMagicaPotion
44,Chrono Anchor,am2.buffs.ArsMagicaPotion
45,Clarity,am2.buffs.ArsMagicaPotion
46,Entangled,am2.buffs.ArsMagicaPotion
47,Feather Fall,am2.buffs.ArsMagicaPotion
48,Flight,am2.buffs.ArsMagicaPotion
49,Frost Slow,am2.buffs.ArsMagicaPotion
50,Fury,am2.buffs.ArsMagicaPotion
51,Gravity Well,am2.buffs.ArsMagicaPotion
52,Haste,am2.buffs.ArsMagicaPotion
53,Illuminated,am2.buffs.ArsMagicaPotion
54,Leap,am2.buffs.ArsMagicaPotion
